"F:\Program Files (x86)\SteamLibrary\steamapps\common\dota 2 beta\game\bin\win64\dota2.exe" -addon all_deathmatch -tools -steam

f:\program files (x86)\steamlibrary\steamapps\common\dota 2 beta\game\dota_addons\all_deathmatch\elements\sessions\session3_play3.dmx#0

1280x720 @24.00 fps
motion blur samples:    per-camera settings
depth of field samples: 64

Frame  	Frame  	Total  	Shot                   	Map                    	DoF    	MBlur  	Total
Number 	Time   	Time   	Name                   	Name                   	Count  	Count  	Count
      0	  2.161	      2	shot1                 	sources_film_maker_int	   64	    8	   64
      1	  1.118	      3	shot1                 	sources_film_maker_int	   64	    8	   64
      2	  1.098	      4	shot1                 	sources_film_maker_int	   64	    8	   64
      3	  1.170	      6	shot1                 	sources_film_maker_int	   64	    8	   64
      4	  1.274	      7	shot1                 	sources_film_maker_int	   64	    8	   64
      5	  1.228	      8	shot1                 	sources_film_maker_int	   64	    8	   64
      6	  1.260	      9	shot1                 	sources_film_maker_int	   64	    8	   64
      7	  1.228	     11	shot1                 	sources_film_maker_int	   64	    8	   64
      8	  1.194	     12	shot1                 	sources_film_maker_int	   64	    8	   64
      9	  1.237	     13	shot1                 	sources_film_maker_int	   64	    8	   64
     10	  1.232	     14	shot1                 	sources_film_maker_int	   64	    8	   64
     11	  1.211	     15	shot1                 	sources_film_maker_int	   64	    8	   64
     12	  1.190	     17	shot1                 	sources_film_maker_int	   64	    8	   64
     13	  1.213	     18	shot1                 	sources_film_maker_int	   64	    8	   64
     14	  1.213	     19	shot1                 	sources_film_maker_int	   64	    8	   64
     15	  1.205	     20	shot1                 	sources_film_maker_int	   64	    8	   64
     16	  1.230	     21	shot1                 	sources_film_maker_int	   64	    8	   64
     17	  1.250	     23	shot1                 	sources_film_maker_int	   64	    8	   64
     18	  1.288	     24	shot1                 	sources_film_maker_int	   64	    8	   64
     19	  1.221	     25	shot1                 	sources_film_maker_int	   64	    8	   64
     20	  1.222	     26	shot1                 	sources_film_maker_int	   64	    8	   64
     21	  1.189	     28	shot1                 	sources_film_maker_int	   64	    8	   64
     22	  1.148	     29	shot1                 	sources_film_maker_int	   64	    8	   64
     23	  1.164	     30	shot1                 	sources_film_maker_int	   64	    8	   64
     24	  1.154	     31	shot1                 	sources_film_maker_int	   64	    8	   64
     25	  1.275	     32	shot1                 	sources_film_maker_int	   64	    8	   64
     26	  1.148	     34	shot1                 	sources_film_maker_int	   64	    8	   64
     27	  1.163	     35	shot1                 	sources_film_maker_int	   64	    8	   64
     28	  1.188	     36	shot1                 	sources_film_maker_int	   64	    8	   64
     29	  1.161	     37	shot1                 	sources_film_maker_int	   64	    8	   64
     30	  1.116	     38	shot1                 	sources_film_maker_int	   64	    8	   64
     31	  1.140	     39	shot1                 	sources_film_maker_int	   64	    8	   64
