"F:\Program Files (x86)\SteamLibrary\steamapps\common\dota 2 beta\game\bin\win64\dota2.exe" -addon all_deathmatch -tools -steam -4gb

f:\program files (x86)\steamlibrary\steamapps\common\dota 2 beta\game\dota_addons\all_deathmatch\elements\sessions\sessionfinal.dmx#0

1280x720 @24.00 fps
motion blur samples:    per-camera settings
depth of field samples: 64

Frame  	Frame  	Total  	Shot                   	Map                    	DoF    	MBlur  	Total
Number 	Time   	Time   	Name                   	Name                   	Count  	Count  	Count
      0	  2.772	      3	shot1                 	map                   	   64	    8	   64
      1	  1.412	      4	shot1                 	map                   	   64	    8	   64
      2	  1.446	      6	shot1                 	map                   	   64	    8	   64
      3	  1.495	      7	shot1                 	map                   	   64	    8	   64
      4	  1.528	      9	shot1                 	map                   	   64	    8	   64
      5	  1.527	     10	shot1                 	map                   	   64	    8	   64
      6	  1.530	     12	shot1                 	map                   	   64	    8	   64
      7	  1.492	     13	shot1                 	map                   	   64	    8	   64
      8	  1.523	     15	shot1                 	map                   	   64	    8	   64
      9	  1.530	     16	shot1                 	map                   	   64	    8	   64
     10	  1.526	     18	shot1                 	map                   	   64	    8	   64
     11	  1.521	     19	shot1                 	map                   	   64	    8	   64
     12	  1.500	     21	shot1                 	map                   	   64	    8	   64
     13	  1.521	     22	shot1                 	map                   	   64	    8	   64
     14	  1.543	     24	shot1                 	map                   	   64	    8	   64
     15	  1.511	     25	shot1                 	map                   	   64	    8	   64
     16	  1.521	     27	shot1                 	map                   	   64	    8	   64
     17	  1.512	     28	shot1                 	map                   	   64	    8	   64
     18	  1.520	     30	shot1                 	map                   	   64	    8	   64
     19	  1.522	     31	shot1                 	map                   	   64	    8	   64
     20	  1.509	     33	shot1                 	map                   	   64	    8	   64
     21	  1.607	     35	shot1                 	map                   	   64	    8	   64
     22	  1.506	     36	shot1                 	map                   	   64	    8	   64
     23	  1.512	     38	shot1                 	map                   	   64	    8	   64
     24	  1.487	     39	shot1                 	map                   	   64	    8	   64
     25	  1.503	     41	shot1                 	map                   	   64	    8	   64
     26	  1.493	     42	shot1                 	map                   	   64	    8	   64
     27	  1.542	     44	shot1                 	map                   	   64	    8	   64
     28	  1.532	     45	shot1                 	map                   	   64	    8	   64
     29	  1.497	     47	shot1                 	map                   	   64	    8	   64
     30	  1.519	     48	shot1                 	map                   	   64	    8	   64
     31	  1.552	     50	shot1                 	map                   	   64	    8	   64
     32	  1.475	     51	shot1                 	map                   	   64	    8	   64
     33	  1.489	     53	shot1                 	map                   	   64	    8	   64
     34	  1.511	     54	shot1                 	map                   	   64	    8	   64
     35	  1.502	     56	shot1                 	map                   	   64	    8	   64
     36	  1.517	     57	shot1                 	map                   	   64	    8	   64
     37	  1.476	     59	shot1                 	map                   	   64	    8	   64
     38	  1.519	     60	shot1                 	map                   	   64	    8	   64
     39	  1.525	     62	shot1                 	map                   	   64	    8	   64
     40	  1.494	     63	shot1                 	map                   	   64	    8	   64
     41	  1.512	     65	shot1                 	map                   	   64	    8	   64
     42	  1.468	     66	shot1                 	map                   	   64	    8	   64
     43	  1.515	     68	shot1                 	map                   	   64	    8	   64
     44	  1.493	     69	shot1                 	map                   	   64	    8	   64
     45	  1.551	     71	shot1                 	map                   	   64	    8	   64
     46	  1.683	     72	shot1                 	map                   	   64	    8	   64
     47	  1.644	     74	shot1                 	map                   	   64	    8	   64
     48	  1.637	     76	shot1                 	map                   	   64	    8	   64
     49	  1.689	     77	shot1                 	map                   	   64	    8	   64
     50	  1.552	     79	shot1                 	map                   	   64	    8	   64
     51	  8.990	     88	shot1                 	map                   	   64	    8	   64
     52	  2.021	     90	shot1                 	map                   	   64	    8	   64
     53	  1.736	     92	shot1                 	map                   	   64	    8	   64
     54	  1.664	     93	shot1                 	map                   	   64	    8	   64
     55	  1.604	     95	shot1                 	map                   	   64	    8	   64
     56	  1.696	     97	shot1                 	map                   	   64	    8	   64
